x, y
599.3640699523052, 231.5340909090909
640.6995230524642, 246.44886363636363
692.3688394276629, 269.8863636363636
764.7058823529411, 294.7443181818182
826.7090620031796, 320.3125
888.712241653418, 344.46022727272725
961.0492845786963, 369.3181818181818
1064.3879173290936, 394.8863636363636
1157.3926868044514, 419.0340909090909
1281.3990461049284, 443.89204545454544
1384.7376788553258, 456.6761363636364
1519.0779014308425, 468.0397727272727
1663.751987281399, 473.0113636363636
1808.4260731319553, 473.0113636363636
1963.4340222575515, 472.3011363636364
2097.774244833068, 470.8806818181818
2252.7821939586643, 468.75
2428.45786963434, 465.1988636363636
2593.799682034976, 461.64772727272725
2748.8076311605723, 458.8068181818182
2903.8155802861684, 453.83522727272725
3213.8314785373605, 443.89204545454544
3482.511923688394, 430.39772727272725
3709.8569157392685, 419.0340909090909
3968.2034976152618, 403.4090909090909
4143.879173290938, 392.7556818181818
4288.553259141494, 379.9715909090909
4402.225755166931, 365.0568181818182
4495.230524642289, 350.14204545454544
4598.569157392686, 334.51704545454544
