x, y
599.3640699523052, 31.960227272727273
723.3704292527822, 43.32386363636363
806.0413354531001, 51.84659090909091
930.047694753577, 65.3409090909091
1012.718600953895, 75.99431818181817
1167.726550079491, 90.19886363636364
1333.068362480127, 107.24431818181817
1457.074721780604, 118.60795454545455
1612.0826709062003, 131.39204545454544
1746.4228934817168, 140.625
1901.430842607313, 150.5681818181818
2066.7726550079487, 160.51136363636363
2211.4467408585056, 168.32386363636363
2356.120826709062, 176.8465909090909
2531.7965023847373, 187.5
2707.472178060413, 196.02272727272728
2862.480127186009, 204.54545454545453
3048.4896661367247, 212.35795454545453
3255.1669316375196, 222.30113636363635
3482.511923688394, 229.4034090909091
3720.190779014308, 236.5056818181818
3926.868044515103, 240.76704545454544
4164.546899841017, 244.3181818181818
4267.885532591415, 242.89772727272725
4360.890302066772, 240.76704545454544
4443.5612082670905, 237.2159090909091
4515.898251192369, 232.95454545454544
4598.569157392686, 227.98295454545453
